id,concept,count,in_graph
2378,mechanical property,918,True
3688,tensile strength,392,True
4041,x ray diffraction,390,True
3866,transmission electron microscopy,369,True
3218,scanning electron microscopy,321,True
1383,electron microscopy,254,True
1757,grain size,243,True
444,aluminium alloy,242,True
4060,yield strength,232,True
1717,grain boundary,201,True
3681,tensile property,196,True
2899,plastic deformation,183,True
3511,strain rate,168,True
1751,grain refinement,166,True
3694,tensile test,161,True
2715,optical microscopy,138,True
287,SiC,136,True
1822,heat treatment,133,True
4063,youngs modulus,123,True
2487,microstructural evolution,120,True
1235,dislocation density,119,True
2364,mechanical behavior,116,True
1458,equal channel angular pressing,114,True
1651,fracture toughness,111,True
14,Al2O3,111,True
3767,thermal stability,103,True
3153,residual stress,98,True
1191,differential scanning calorimetry,93,True
2844,phase transformation,90,True
1742,grain growth,88,True
2511,microstructure evolution,87,True
3758,thermal property,86,True
312,Ti6Al4V,86,True
1308,dynamic recrystallization,84,True
975,corrosion resistance,83,True
3832,titanium alloy,83,True
3731,thermal conductivity,82,True
3899,ultimate tensile strength,81,True
3242,selective laser melting,81,True
1406,elevated temperature,81,True
3217,scanning electron microscope,79,True
2783,particle size,77,True
1331,electrical conductivity,77,True
378,additive manufacturing,74,True
2263,magnesium alloy,74,True
1137,deformation mechanism,73,True
729,carbon nanotube,72,True
1370,electron backscatter diffraction,71,True
997,crack propagation,70,True
329,TiO2,70,True
1610,flow stress,70,True
1321,elastic modulus,70,True
3991,wear resistance,69,True
571,austenitic stainless steel,68,True
1665,friction stir welding,68,True
3434,spark plasma sintering,66,True
3089,raman spectroscopy,66,True
2864,physical property,66,True
3267,severe plastic deformation,65,True
2419,metal matrix composite,64,True
3695,tensile testing,63,True
3467,stainless steel,63,True
289,SiO2,63,True
4061,yield stress,61,True
947,cooling rate,60,True
3271,shape memory alloy,60,True
319,TiC,59,True
1860,high pressure torsion,59,True
1525,fatigue life,58,True
1124,deformation behavior,58,True
4051,x ray photoelectron spectroscopy,57,True
1335,electrical property,56,True
1853,high entropy alloy,55,True
910,compressive strength,53,True
856,cold rolling,50,True
3466,stacking fault energy,49,True
990,crack initiation,48,True
896,compression test,48,True
3496,strain hardening,46,True
251,NiTi,46,True
2307,martensitic transformation,46,True
125,FSW,46,True
3953,vicker hardness,45,True
2028,infrared spectroscopy,45,True
1914,hot deformation,45,True
4027,work hardening,44,True
1060,crystal structure,44,True
2475,microstructural change,43,True
1710,glass transition temperature,43,True
1648,fracture surface,43,True
1873,high strength,42,True
2361,mechanical alloying,41,True
2335,matrix composite,41,True
2276,magnetic property,41,True
1585,finite element analysis,41,True
3865,transmission electron microscope,40,True
3555,stress strain curve,40,True
1660,friction stir processing,40,True
161,HV,40,True
79,CO2,39,True
3514,strain rate sensitivity,39,True
2490,microstructural feature,39,True
1626,fourier transform infrared spectroscopy,39,True
44,AlSi,38,True
344,YS,38,True
1920,hot isostatic pressing,38,True
1881,high temperature,38,True
1433,energy dispersive x ray spectroscopy,38,True
1147,deformation temperature,38,True
471,aluminium matrix composite,37,True
3168,retained austenite,37,True
227,NaCl,37,True
1805,heat affected zone,37,True
1735,grain boundary sliding,37,True
1600,flexural strength,37,True
375,activation energy,36,True
346,ZnO,36,True
3279,shear band,36,True
1382,electron microscope,36,True
1020,creep resistance,36,True
3791,thermogravimetric analysis,35,True
351,ZrO2,35,True
35,AlMg,35,True
1631,fracture behavior,35,True
124,FSP,34,True
1083,crystallographic texture,34,True
986,crack growth,33,True
801,chemical composition,33,True
603,ball milling,33,True
507,annealing temperature,33,True
2477,microstructural characterization,33,True
1591,finite element simulation,33,True
545,atomic force microscopy,32,True
3725,thermal barrier coating,32,True
3665,tensile behavior,32,True
2178,lattice parameter,32,True
3635,surface roughness,31,True
2908,plastic strain,31,True
2649,nickel based superalloy,31,True
2383,mechanical response,31,True
2376,mechanical performance,31,True
1918,hot extrusion,31,True
1507,fatigue behavior,31,True
1455,equal channel angular extrusion,31,True
470,aluminium matrix,30,True
3383,solid solution,30,True
318,TiB2,30,True
29,AlCu,30,True
2718,optical property,30,True
2073,intermetallic compound,30,True
1638,fracture mode,30,True
1534,fatigue strength,30,True
1460,equiaxed grain,30,True
3669,tensile deformation,29,True
3574,structural property,29,True
3527,strengthening mechanism,29,True
3036,processing map,29,True
1588,finite element model,29,True
157,HIP,29,True
41,AlN,28,True
397,aerospace industry,28,True
2983,powder metallurgy,28,True
2832,phase formation,28,True
2473,microstructural analysis,28,True
2324,material property,28,True
1262,dislocation structure,28,True
1186,dielectric property,28,True
1166,density functional theory,28,True
1139,deformation mode,28,True
3769,thermal treatment,27,True
3741,thermal expansion,27,True
3671,tensile ductility,27,True
2780,particle reinforcement,27,True
2714,optical microscope,27,True
2347,matrix phase,27,True
1916,hot deformation behavior,27,True
1071,crystallite size,27,True
1008,creep behavior,27,True
878,composite material,26,True
640,biomedical application,26,True
485,ambient temperature,26,True
437,alloying element,26,True
3989,wear rate,26,True
3722,thermal analysis,26,True
3692,tensile stress,26,True
367,accumulative roll bonding,26,True
3294,shear strength,26,True
314,TiAl,26,True
2647,nickel base superalloy,26,True
2542,molecular dynamic simulation,26,True
2541,molecular dynamic,26,True
2157,laser melting,26,True
575,automotive industry,25,True
3609,surface area,25,True
3388,solid solution strengthening,25,True
2642,neutron diffraction,25,True
2391,mechanical testing,25,True
2240,low carbon steel,25,True
1587,finite element method,25,True
1531,fatigue property,25,True
1413,elongation to failure,25,True
1337,electrical resistivity,25,True
1251,dislocation motion,25,True
1078,crystallographic orientation,25,True
967,corrosion behavior,24,True
62,BC,24,True
38,AlMgSi,24,True
3797,thermomechanical processing,24,True
3712,texture evolution,24,True
3500,strain hardening rate,24,True
3482,stir zone,24,True
3433,spark plasma,24,True
338,WC,24,True
286,Si3N4,24,True
2769,particle distribution,24,True
2182,laves phase,24,True
1922,hot pressing,24,True
1911,hot compression test,24,True
182,Mg2Si,24,True
180,Mg17Al12,24,True
1772,graphene oxide,24,True
1663,friction stir weld,24,True
1379,electron diffraction,24,True
1307,dynamic recovery,24,True
3698,tensile yield strength,23,True
3571,structural material,23,True
323,TiN,23,True
2917,poisson ratio,23,True
2856,photoelectron spectroscopy,23,True
2849,phase transition,23,True
2387,mechanical strength,23,True
2242,low cycle fatigue,23,True
2065,intergranular fracture,23,True
1924,hot rolling,23,True
192,MgO,23,True
1828,heating rate,23,True
1637,fracture mechanism,23,True
1217,directional solidification,23,True
1193,differential thermal analysis,23,True
1150,deformation twinning,23,True
1029,creep strength,23,True
925,constitutive equation,22,True
4069,zener hollomon parameter,22,True
4030,work hardening rate,22,True
326,TiNi,22,True
3222,scanning transmission electron microscopy,22,True
2737,oxidation resistance,22,True
2449,micro hardness,22,True
2290,martensite formation,22,True
1983,impact toughness,22,True
1504,failure mechanism,22,True
1449,epoxy matrix,22,True
1367,electron back scattered diffraction,22,True
1149,deformation twin,22,True
1019,creep rate,22,True
583,az31 magnesium alloy,21,True
4042,x ray diffraction analysis,21,True
3894,twinning induced plasticity,21,True
3465,stacking fault,21,True
3332,single crystal,21,True
3273,shape memory effect,21,True
3011,precipitation hardening,21,True
2582,multi walled carbon nanotube,21,True
2476,microstructural characteristic,21,True
2461,microhardness measurement,21,True
2306,martensitic steel,21,True
214,MoSi2,21,True
1842,high cycle fatigue,21,True
1487,extruded alloy,21,True
3856,toughening mechanism,20,True
3485,storage modulus,20,True
3316,silicon carbide,20,True
3051,pure aluminium,20,True
2596,nanocrystalline alloy,20,True
2509,microstructure development,20,True
2079,intermetallic phase,20,True
1968,image analysis,20,True
1879,high strength steel,20,True
1868,high resolution transmission electron microscopy,20,True
1840,high angle grain boundary,20,True
1839,high angle boundary,20,True
1241,dislocation glide,20,True
1182,dielectric constant,20,True
908,compressive residual stress,19,True
844,coefficient of thermal expansion,19,True
558,austenite grain size,19,True
465,aluminium foam,19,True
3627,surface modification,19,True
3425,solution treatment,19,True
317,TiB,19,True
2842,phase separation,19,True
2823,phase composition,19,True
2784,particle size distribution,19,True
2697,numerical simulation,19,True
2603,nanocrystalline material,19,True
2496,microstructural observation,19,True
2047,interfacial bonding,19,True
1870,high strain rate,19,True
1811,heat input,19,True
1658,friction coefficient,19,True
1645,fracture strain,19,True
1511,fatigue crack growth,19,True
1453,epoxy resin,19,True
1421,energy absorption,19,True
1371,electron backscattered diffraction,19,True
1103,cyclic loading,19,True
907,compressive property,18,True
78,CO,18,True
718,carbon fiber,18,True
617,basal texture,18,True
576,average grain size,18,True
489,amorphous alloy,18,True
45,AlSi10Mg,18,True
4038,x ray,18,True
343,Y2O3,18,True
3144,relative density,18,True
